"","UMAP1","UMAP2","Datatype","cell_type"
"Cell14_ref",0.426695478611114,-9.73590586730813,"A",1
"Cell15_ref",-9.15422736918848,1.1385727066005,"A",3
"Cell16_ref",-7.91676206906399,-0.140925937072679,"A",3
"Cell17_ref",-0.470320782779676,-9.53351909402855,"A",1
"Cell18_ref",0.584692718355201,-11.1152914730505,"A",1
"Cell19_ref",6.89477994697251,3.790917068956,"A",2
"Cell20_ref",0.0996530020667896,-9.17728875553351,"A",1
"Cell21_ref",7.15819381826736,2.56300221722158,"A",2
"Cell22_ref",-7.75901831181913,1.97648435147142,"A",3
"Cell23_ref",3.80834865841948,3.69601337595874,"A",2
"Cell24_ref",-0.403023193406418,-9.30704950055121,"A",1
"Cell25_ref",-9.69232759489592,0.837206302950323,"A",3
"Cell26_ref",-7.79419681587744,0.00208680825870888,"A",3
"Cell27_ref",-8.00310256845416,2.18792738209027,"A",3
"Cell28_ref",-0.294545735952762,-10.781104370945,"A",1
"Cell29_ref",8.41618396874486,1.13247510280906,"A",2
"Cell30_ref",3.12731778403474,4.64251386603831,"A",2
"Cell31_ref",0.397446012378701,-9.33542767001946,"A",1
"Cell32_ref",-0.483640087694559,-9.29962743766152,"A",1
"Cell33_ref",-5.8425043399838,1.18928788220307,"A",3
"Cell34_ref",5.18262437011204,1.9100573495396,"A",2
"Cell35_ref",-0.270602686630213,-10.3922244871797,"A",1
"Cell36_ref",6.84362214333364,1.49018905666026,"A",2
"Cell37_ref",-5.86527090531134,1.45343366235483,"A",3
"Cell38_ref",0.852569640232618,-9.90270807960538,"A",1
"Cell39_ref",6.95476902638478,2.73011428608194,"A",2
"Cell40_ref",8.51930960191241,1.1992026438818,"A",2
"Cell41_ref",-9.69613350136326,0.875181214858016,"A",3
"Cell42_ref",-9.34243991516728,0.00139872934286334,"A",3
"Cell43_ref",-6.6656606130075,1.04724135800544,"A",3
"Cell44_ref",-7.82923679297767,0.0462456722273332,"A",3
"Cell45_ref",0.0448700122697517,-11.5313806018598,"A",1
"Cell46_ref",8.88169716432887,2.28167626854993,"A",2
"Cell47_ref",-0.401620330126435,2.93721165125801,"A",3
"Cell48_ref",8.11928818103332,1.20115987559281,"A",2
"Cell49_ref",0.843782949480275,-10.0251936081924,"A",1
"Cell50_ref",-9.7445908718556,0.310760412817649,"A",3
"Cell51_ref",0.955389129987908,-10.8978271914451,"A",1
"Cell52_ref",-9.72170503778589,0.17188517731656,"A",3
"Cell53_ref",-8.05458640337684,-0.436182134790204,"A",3
"Cell54_ref",7.26742445066466,2.18366373767371,"A",2
"Cell55_ref",8.85480086104319,1.6519145280249,"A",2
"Cell56_ref",8.77015318265285,1.60653131747254,"A",2
"Cell57_ref",-0.111731412962589,-10.6915728214456,"A",1
"Cell58_ref",7.31020602214176,2.18326838191053,"A",2
"Cell59_ref",-9.45403277875413,0.846901505411967,"A",3
"Cell60_ref",-9.19695160692098,0.42466603405513,"A",3
"Cell61_ref",-8.43644209068668,1.75488427345949,"A",3
"Cell62_ref",-8.2149804533921,1.73457359193196,"A",3
"Cell63_ref",8.62386581514066,1.49456205394542,"A",2
"Cell64_ref",-7.94086993659735,2.19120363454008,"A",3
"Cell65_ref",0.54132889548181,-9.47587104560624,"A",1
"Cell66_ref",-0.317382209820005,-9.213434887026,"A",1
"Cell67_ref",-5.59909881074969,0.125866691956816,"A",3
"Cell68_ref",7.66798951251932,2.04497910741438,"A",2
"Cell69_ref",4.85464196284106,1.93811288680312,"A",2
"Cell70_ref",7.27348008415986,2.92531250849894,"A",2
"Cell71_ref",1.00699722035712,-10.8538771651998,"A",1
"Cell72_ref",-0.204281085529356,-10.4869928153134,"A",1
"Cell73_ref",8.60490986386061,1.43357127892347,"A",2
"Cell74_ref",-7.71634916404867,0.0768164628627999,"A",3
"Cell75_ref",-6.89074093003879,0.760398939126286,"A",3
"Cell76_ref",0.280338281795785,-9.2876290173306,"A",1
"Cell77_ref",-8.44349229839675,1.6733698392858,"A",3
"Cell78_ref",0.0669743641469273,-0.160224223162065,"A",2
"Cell79_ref",7.27524100453368,3.767572633851,"A",2
"Cell80_ref",-7.86022447180238,2.15084151971842,"A",3
"Cell81_ref",0.244795261055796,-10.0415163773229,"A",1
"Cell82_ref",8.05185885490701,3.36557712223159,"A",2
"Cell83_ref",-6.01448480210498,1.49088250149503,"A",3
"Cell84_ref",-9.15997146507619,1.68206671673854,"A",3
"Cell85_ref",0.70804250219633,-9.59342616904704,"A",1
"Cell86_ref",-0.398086844198658,-10.3697107196824,"A",1
"Cell87_ref",-8.46717082948125,1.71035200208984,"A",3
"Cell88_ref",0.776572968242464,-11.1799576654643,"A",1
"Cell89_ref",-0.201365316019672,-9.44574555560584,"A",1
"Cell90_ref",8.71693142476144,1.6518560066925,"A",2
"Cell91_ref",8.83928390999487,2.34075715756779,"A",2
"Cell92_ref",-0.199609654082897,3.36431048240455,"A",3
"Cell93_ref",-7.08832047616774,0.657925010526175,"A",3
"Cell94_ref",7.44828036330138,3.32360866715086,"A",2
"Cell95_ref",8.67628628255859,1.32247314690297,"A",2
"Cell96_ref",0.746031985370762,-11.0535751057189,"A",1
"Cell97_ref",7.03190343804715,1.22719534426348,"A",2
"Cell98_ref",0.860012061779206,-10.0519255477601,"A",1
"Cell99_ref",7.27561074816186,2.17305716458874,"A",2
"Cell100_ref",-9.32212067903824,1.04896112896834,"A",3
"Cell101_ref",-7.01933334568818,1.37129557446998,"A",3
"Cell102_ref",8.89817366443897,1.86049059123871,"A",2
"Cell103_ref",7.53232937645392,2.29734370864784,"A",2
"Cell104_ref",8.30320083809456,2.81297786252296,"A",2
"Cell105_ref",-0.333746095273107,-10.0415993576357,"A",1
"Cell106_ref",0.190916665615946,-11.4217189312706,"A",1
"Cell107_ref",-7.48539938239367,1.35743179263259,"A",3
"Cell108_ref",8.76420811087601,1.35058558963785,"A",2
"Cell109_ref",1.20317686833949,-11.202979899795,"A",1
"Cell110_ref",-9.46249327004979,0.170764007219867,"A",3
"Cell111_ref",1.18872485783727,-11.2562996516359,"A",1
"Cell112_ref",-0.30021105053438,-10.7899321099805,"A",1
"Cell113_ref",0.828306802030708,-9.90498788799268,"A",1
"Cell114_ref",-7.6364913797966,1.7245726268049,"A",3
"Cell115_ref",1.27422886858256,4.83907376507661,"A",2
"Cell116_ref",6.85273394858179,1.84852811743168,"A",2
"Cell117_ref",-6.83356990616885,0.709804698397815,"A",3
"Cell118_ref",-5.80964095280264,0.175980996358435,"A",3
"Cell119_ref",-0.0218421970911764,-11.3737901745,"A",1
"Cell120_ref",-5.884900639874,0.397237027723304,"A",3
"Cell121_ref",-9.30296067380218,1.79815839729387,"A",3
"Cell122_ref",1.04771925165905,-11.1168520923157,"A",1
"Cell123_ref",7.29479034902468,3.23938200809402,"A",2
"Cell124_ref",-0.873828589234196,1.70717439650889,"A",3
"Cell125_ref",-6.33732700470731,1.47673715357822,"A",3
"Cell126_ref",8.2475598829799,2.79851863539272,"A",2
"Cell127_ref",-6.72482293437451,1.53004508094045,"A",3
"Cell128_ref",-0.55527617161852,-9.97948195782295,"A",1
"Cell129_ref",0.0202920396723312,-10.1759164825341,"A",1
"Cell130_ref",-6.58503822697705,1.37166630579502,"A",3
"Cell131_ref",-0.0367517236916722,-10.4920569624823,"A",1
"Cell132_ref",-9.20172286633928,0.660303337662997,"A",3
"Cell133_ref",0.979016967139663,-11.1673065249,"A",1
"Cell134_ref",-0.0417164869084814,-11.2214109605402,"A",1
"Cell135_ref",-0.580376086292943,-9.53309325253635,"A",1
"Cell136_ref",-7.77260800298307,0.0706570222284397,"A",3
"Cell137_ref",1.03654714498058,-10.9735846944104,"A",1
"Cell138_ref",8.60557347476685,1.40828606097187,"A",2
"Cell139_ref",-5.78775575211439,0.209913002237329,"A",3
"Cell140_ref",3.89135222260635,3.31175018151316,"A",2
"Cell141_ref",-6.07578388880161,0.386652068265041,"A",3
"Cell142_ref",0.0311412104632375,-9.74246151191541,"A",1
"Cell143_ref",6.84921523588516,2.49157498994761,"A",2
"Cell144_ref",-0.537469526659843,-9.98933435419681,"A",1
"Cell145_ref",-9.56137531362586,1.00829128999946,"A",3
"Cell146_ref",0.501858429057425,-9.43618805130939,"A",1
"Cell147_ref",-6.87996101477869,0.869812489577212,"A",3
"Cell148_ref",-0.596569680329607,-9.56789552852035,"A",1
"Cell149_ref",1.09161547586609,3.73262624100969,"A",2
"Cell150_ref",8.68703532110776,2.97193455443684,"A",2
"Cell151_ref",-0.360099310685118,-10.2959414602764,"A",1
"Cell152_ref",-0.299725162332549,-9.12261053597611,"A",1
"Cell153_ref",0.690257338251697,-11.0992136084439,"A",1
"Cell154_ref",-5.60937547765513,1.00890119434207,"A",3
"Cell155_ref",-5.97656046020806,0.357593575876884,"A",3
"Cell156_ref",8.67333149006573,1.83915862626475,"A",2
"Cell157_ref",0.607016931317145,-9.47560621795902,"A",1
"Cell158_ref",-9.59906403084099,0.987381857384559,"A",3
"Cell159_ref",-6.20861560992337,1.45291613334003,"A",3
"Cell160_ref",6.82661712587381,3.81290740842135,"A",2
"Cell161_ref",1.16969545063203,-11.2632413304754,"A",1
"Cell162_ref",7.24167505781698,1.91904089788416,"A",2
"Cell163_ref",8.39733788397403,2.70336928688133,"A",2
"Cell164_ref",7.1471134050644,1.43419843525845,"A",2
